city,time
Aleppo,2.55
Brazzaville,2.55
Dhaka,2.55
Palenque,2.54
Corfu,2.54
Limbe,2.54
Tartus,2.54
N'Djamena,2.52
Port Harcourt,2.52
Omsk,2.52
Nazaré,2.51
San José,2.51
Brikama,2.51
Ta Khmao,2.51
Oran,2.5
Asaba,2.5
Tubmanburg,2.5
Mitunguu,2.5
Sanaa,2.5
Babonneau,2.49
Gyumri,2.49
Castries,2.49
Lilongwe,2.48
Tyumen,2.48
Makeni,2.47
Alasia,2.47
Toamasina,2.46
Ibadan,2.46
Korosten,2.44
Kathwana,2.44
Perm,2.44
Grenville,2.43
Sarny,2.43
Cochabamba,2.42
Maseru,2.42
Petit Valley,2.42
Kabul,2.42
Farafenni,2.42
Sea view Farm,2.42
Bangui,2.41
Granada,2.41
Ivano-Frankivsk,2.41
Kirov,2.41
Olmaliq,2.41
Tanjeh,2.4
Fez,2.4
Kherson,2.4
Skeldon,2.4
Guaranda,2.4
Tunis,2.4
Melilla,2.4
Khmelnytskyi,2.4
Chișinău,2.4
Port-au-Prince,2.4
Muramvya,2.39
Shymkent,2.39
Dingli,2.39
José Pedro Varela,2.39
Saint-François,2.38
Rustavi,2.38
Libreville,2.37
Ternopil,2.37
Pristina,2.37
Nyeri,2.37
Lugbe,2.36
Paro,2.36
Giza,2.35
Tamale,2.34
Playa del Carmen,2.34
Embu,2.33
East End,2.33
Sumy,2.33
Zahaflam,2.33
Brighton,2.33
Antwerp,2.33
Mutengene,2.33
Liepaja,2.33
Maty,2.33
Saint-Claude,2.33
Mangilao,2.33
Sinkunia,2.33
Lakhdenpokhya,2.33
Grodno,2.33
Saratov,2.32
Abakaliki,2.32
Khemisset,2.32
Aarhus,2.31
Valletta,2.31
Pärnu,2.3
Sesimbra,2.3
Funchal,2.3
Kramatorsk,2.3
Kaduna,2.3
Dnipro,2.29
Keren,2.29
Warsaw,2.29
Douala,2.27
Vagharshapat,2.27
Saint-Denis,2.27
Kalangba,2.27
Roseau,2.25
Lokossa,2.25
Punaʻauia,2.25
Port-Gentil,2.25
Luzern,2.25
Kaliningrad,2.24
Khorira,2.24
Yalta,2.23
Oujda,2.23
Kenema,2.23
Niamey,2.22
Dushanbe,2.22
Guenfouda,2.22
Thimphu,2.21
Malabo,2.21
Coyah,2.21
Tartu,2.21
Chuka,2.2
Armavir,2.2
Aveiro,2.2
Panama City,2.2
Afgoye,2.19
Monrovia,2.18
Yaoundé,2.17
Gżira,2.17
Lodrino,2.17
Cascais,2.17
Lobamba,2.17
Pyatigorsk,2.17
Fray Bentos,2.17
Choloma,2.17
Birgu,2.17
Novy Urengoy,2.17
Benin City,2.16
Bizerte,2.16
Port Vila,2.16
Ilovaisk,2.15
Kabala,2.15
Peja,2.15
San Marino,2.15
Irbit,2.14
Notsé,2.14
Laura,2.13
Voronezh,2.12
Ambato,2.12
Canillo,2.11
"Huntington Beach, CA",2.11
Bryansk,2.1
Kano,2.1
Kutaisi,2.1
Gelan,2.08
Combani,2.08
"Burbank, CA",2.08
Bo Waterside,2.08
"Calangute, GA",2.08
Baranavichy,2.07
Sanyang,2.07
Al Hoceima,2.06
Polotsk,2.06
Lekki,2.05
Zomba,2.05
Tobruk,2.05
Brussels,2.05
La Massana,2.05
Taiz,2.04
St Brelade,2.04
Nouakchott,2.04
Brest,2.04
Djibouti,2.04
El Harrach,2.04
Luanda,2.02
Uzhhorod,2.02
Sare,2.01
"Shillong, ML",2.01
Uman,2
Chernivtsi,2
Willemstad,2
Vanadzor,2
Kamensk-Uralsky,2
Ndola,2
Robertsport,2
Korçë,2
Agrément,2
Dakhla,2
Amouli,2
Githongo,2
Old Road Town,2
Franceville,2
Nairutia,2
Makutano,2
Sisimiut,2
Pelican Key,2
Żebbuġ,2
Arta,2
Yavne,2
Baucau,2
Kitengela,2
Malajira,1.99
Teyateyaneng,1.99
Koidu,1.99
Kumasi,1.98
Batkanu,1.98
Kyzyl-Kyya,1.98
Nefza,1.97
Sussex,1.96
Poti,1.96
Pujehun,1.96
Soma,1.96
Pleebo,1.96
Mounana,1.96
Mogilev,1.95
Bolans,1.95
Salé,1.95
Algiers,1.95
Boryspil,1.94
Chogoria,1.93
Aghbalou,1.93
Kropyvnytskyi,1.92
Zhezkazgan,1.92
Marigot,1.9
Ufa,1.9
Surgut,1.89
St Andrew,1.89
Buchanan,1.89
Kaunas,1.89
Moroni,1.89
Biabou,1.88
Ourika,1.88
Narva,1.88
Kayanza,1.87
Namanga,1.87
Aral,1.85
Kambia,1.85
Elmina,1.84
Beira,1.84
Cape Coast,1.84
Bender,1.83
Sliema,1.83
Makwasa,1.83
Temara,1.83
Ahfir,1.83
Samara,1.83
Leiria,1.83
Żurrieq,1.83
Blantyre,1.83
Szczecin,1.83
Pavlodar,1.83
Taraz,1.82
Morne Fortune,1.81
Isabela,1.8
Karakol,1.8
Monaco,1.8
Vladikavkaz,1.79
Masingbi,1.79
Taranto,1.79
Inyi,1.78
Toliara,1.78
Naxxar,1.78
Schaan,1.78
Betio,1.78
Deshaies,1.78
Pyongyang,1.78
Mariehamn,1.78
Mont Vernon,1.78
Mtwara,1.78
Bamenda,1.77
Tuapse,1.77
Guerengou,1.75
Barnesville,1.73
Piriápolis,1.73
Minna,1.73
Mbeya,1.73
Pointe-Noire,1.73
Port Loko,1.72
Gondar,1.72
Sumgait,1.7
Red Hook,1.7
Tintafor,1.7
Ponta do Ouro,1.69
Berkane,1.69
Kralendijk,1.69
Sevastopol,1.69
Falabe,1.67
Lunsar,1.67
Nyahururu,1.67
Saïdia,1.67
Vermont,1.67
Vitebsk,1.67
Rechytsa,1.67
Karagandy,1.67
Port Moresby,1.67
Maryina Horka,1.67
Labuan,1.67
Enhams,1.67
Akhfennir,1.67
Binkolo,1.67
Kionyo,1.67
Mendefera,1.67
Ntoum,1.67
Serowe,1.67
Eiði,1.67
Onitsha,1.67
Gorongosa,1.67
Anua,1.67
Thyolo,1.67
Trinidad,1.67
Belize City,1.67
Goris,1.67
Petifu Junction,1.67
Xlendi,1.67
Walvis Bay,1.67
Mambolo,1.67
Sukhumi,1.67
Caguas,1.67
Kansk,1.67
Gouyave,1.67
Chefchaouen,1.64
Fatick,1.63
Shadrinsk,1.62
Ekpoma,1.6
Pago Pago,1.6
Durban,1.6
Naberezhnye Chelny,1.6
São Tomé,1.58
Waterloo,1.57
Magburaka,1.56
Makiivka,1.56
Luqa,1.56
N'Dofan,1.56
St. George's,1.56
Pos Chiquito,1.56
Ntsaouéni,1.55
Masoila,1.54
Forecariah,1.53
Zugdidi,1.53
Kalodzishchy,1.53
Ramsey,1.53
Căușeni,1.53
Moyamba,1.52
Umuahia,1.51
Makhalanyane,1.5
Saidia,1.5
Sørvágur,1.5
Yoshkar-Ola,1.5
Belmopan,1.5
Adama,1.5
Rîbnița,1.5
Tiko,1.5
Nassau,1.48
Moria,1.47
Makunduchi,1.47
Haarlem,1.46
Aba,1.46
Hama,1.46
Pendembu,1.46
Buea,1.45
Voznesensk,1.44
Les Anses-d'Arlet,1.44
Iconi,1.44
Mpehe,1.44
Kakata,1.43
Funafuti,1.42
Tokmok,1.42
Triesenberg,1.42
Taiama,1.4
Rokupr,1.38
Mamana,1.36
Ngozi,1.36
New Cairo,1.33
Oskemen,1.33
Sakhnin,1.33
Nukuʻalofa,1.33
Kabuga,1.33
Adi Goda'iti,1.33
Norilsk,1.33
San Juan del Sur,1.33
Kokand,1.33
Siġġiewi,1.33
Merzouga,1.33
Avarua,1.33
Devonshire,1.33
Angren,1.33
Ruggell,1.33
Engels,1.33
Bodden Town,1.33
Nieuw Amsterdam,1.33
Mwanza,1.33
Suez,1.33
Nabeul,1.33
Shirvan,1.33
Nizhnevartovsk,1.33
Sandy Ground,1.33
Les Abymes,1.33
Sainte-Suzanne,1.33
Kiawara,1.33
Atyrau,1.33
Boujdour,1.33
Tobolsk,1.33
Bajana,1.33
Boudouaou,1.33
Skhirat,1.33
Maufant,1.33
Mqabba,1.33
Navrongo,1.33
Chelyabinsk,1.33
Ekıbastuz,1.33
Mikhaylovsk,1.28
Fadugu,1.28
Borama,1.27
Matru,1.26
Honiara,1.26
Masiaka,1.25
Kailahun,1.25
Afikpo,1.22
Bălți,1.22
Saba,1.22
Owerri,1.21
Kassirie,1.21
Rufisque,1.2
Gbinti,1.19
Melitopol,1.19
Segbwema,1.18
Xırdalan,1.18
Pointe-à-Pitre,1.17
Jendema,1.17
Monchegorsk,1.17
Vasylkiv,1.17
Makuyu,1.17
Mitsiwa,1.17
Ngobit,1.17
Qacha's Nek,1.17
Sousse,1.17
Bakhchysarai,1.17
Yacuma,1.17
Mange,1.13
Kamakwie,1.13
Daru,1.12
Makolo,1.11
Dilijan,1.11
Gorno-Altaysk,1.11
Kagbantama,1.11
Bandajuma,1.1
Ashgabat,1.09
Lubny,1
Luawa,1
Kiangua,1
St Peter,1
Klaksvík,1
Gikuuri,1
Kerch,1
Lourinhã,1
Ivatsevichy,1
Apatity,1
Isinya,1
Baħar iċ-Ċagħaq,1
Negril,1
Sainte-Anne,1
Petropavl,1
Carolina,1
Yevpatoria,1
Tohoun,1
Silves,1
Charlestown,1
Tui,1
Moengo,1
Aïn Benian,1
Kolonia,1
Vilnius,1
Orenburg,1
Khartsyzk,1
Anse Volbert,1
Nicosia,1
Kango,1
Be'er Sheva,1
Barre Denis,1
Zeerust,1
Żejtun,1
Jorem Nema Kunku,1
Orsha,1
